sec,nsec,x,y,z
2199,121000000,0.500982,-0.494332,0.00782468
2199,155000000,0.500984,-0.494332,0.00783915
2199,189000000,0.500985,-0.494332,0.00784537
2199,223000000,0.500986,-0.494332,0.00783495
2199,257000000,0.500987,-0.494332,0.00781618
2199,291000000,0.500988,-0.494332,0.00781612
2199,325000000,0.50099,-0.494331,0.00783178
2199,359000000,0.500991,-0.494331,0.00784347
2199,393000000,0.500992,-0.494331,0.00784304
2199,427000000,0.500993,-0.494331,0.00782257
2199,461000000,0.500994,-0.494331,0.00781752
2199,495000000,0.500995,-0.494331,0.00781737
2199,529000000,0.500997,-0.494331,0.00783215
2199,563000000,0.500998,-0.494331,0.00784421
2199,597000000,0.500999,-0.494331,0.00784279
2199,631000000,0.501,-0.494331,0.00783498
2199,665000000,0.501001,-0.494331,0.0078162
2199,699000000,0.501003,-0.494331,0.00782087
2199,733000000,0.501004,-0.494331,0.00783192
2199,767000000,0.501005,-0.494331,0.00783803
2199,801000000,0.501006,-0.494331,0.00784603
2199,835000000,0.501007,-0.494331,0.00783793
2199,869000000,0.501009,-0.49433,0.00783728
2199,903000000,0.50101,-0.49433,0.00781877
2199,937000000,0.501011,-0.49433,0.00781749
2199,971000000,0.501012,-0.49433,0.00783211
2200,5000000,0.501013,-0.49433,0.00784347
2200,39000000,0.501015,-0.49433,0.00784302
2200,73000000,0.501016,-0.49433,0.00783632
2200,107000000,0.501017,-0.49433,0.00781867
2200,141000000,0.501018,-0.49433,0.00782345
2200,175000000,0.501019,-0.49433,0.00783858
2200,209000000,0.501021,-0.49433,0.00784174
2200,243000000,0.501022,-0.49433,0.0078438
2200,277000000,0.501023,-0.49433,0.00782263
2200,311000000,0.501024,-0.49433,0.00781908
2200,345000000,0.501025,-0.49433,0.00782856
2200,379000000,0.501027,-0.49433,0.00783884
2200,413000000,0.501028,-0.494329,0.00784541
2200,447000000,0.501029,-0.494329,0.0078446
2200,481000000,0.50103,-0.494329,0.00782286
2200,515000000,0.501031,-0.494329,0.0078191
2200,549000000,0.501032,-0.494329,0.00783532
2200,583000000,0.501034,-0.494329,0.00784484
2200,617000000,0.501035,-0.494329,0.00783983
2200,651000000,0.501036,-0.494329,0.00781844
2200,685000000,0.501037,-0.494329,0.00781614
2200,719000000,0.501038,-0.494329,0.00782779
2200,753000000,0.50104,-0.494329,0.0078407
2200,787000000,0.501041,-0.494329,0.00784005
2200,821000000,0.501042,-0.494329,0.00784553
2200,855000000,0.501043,-0.494329,0.00782824
2200,889000000,0.501044,-0.494329,0.00781626
2200,923000000,0.501046,-0.494329,0.00783164
2200,957000000,0.501047,-0.494328,0.00783739
2200,991000000,0.501048,-0.494328,0.0078405
2201,25000000,0.501049,-0.494328,0.00784473
2201,59000000,0.50105,-0.494328,0.007839
2201,93000000,0.501051,-0.494328,0.00781734
2201,127000000,0.501053,-0.494328,0.00781828
